APNXId,displayName,dataProvider,DataCost,MinCPM,PercentOfMedia,member_id,provider,code,subtype
105983,Behavioral:Television:Comedy,Lotame,0.75,,,422,,3838,
105984,Behavioral:Television:Drama,Lotame,0.75,,,422,,3835,
105985,Behavioral:Television:News,Lotame,0.75,,,422,,3837,
105986,Behavioral:Televison:Reality,Lotame,0.75,,,422,,4885,
105987,Behavioral:Video Games,Lotame,0.75,,,422,,3807,
105988,Behavioral:Video Games:Console Games,Lotame,0.75,,,422,,5063,
105989,Behavioral:Video Games:Online Games,Lotame,0.75,,,422,,3808,
105990,Behavioral:Automobiles,Lotame,0.75,,,422,,2722,
105991,Behavioral:Compact-sized Cars,Lotame,0.75,,,422,,5008,
105992,Behavioral:Mid-sized Cars,Lotame,0.75,,,422,,5026,
105993,Behavioral:Full-sized Cars,Lotame,0.75,,,422,,5030,
105994,Behavioral:Luxury Cars,Lotame,0.75,,,422,,4880,
105995,Behavioral:Sports Cars,Lotame,0.75,,,422,,4883,
105996,Behavioral:Clothes Shopping,Lotame,0.75,,,422,,3800,
105997,Behavioral:Cosmetics,Lotame,0.75,,,422,,3801,
105998,Behavioral:Jewelry  Watches  & Fashion Accessories,Lotame,0.75,,,422,,3799,
105999,Behavioral:Style & Fashion,Lotame,0.75,,,422,,2724,
106000,Behavioral:Trendsetters,Lotame,0.75,,,422,,3802,
106001,Behavioral:Computers & Software,Lotame,0.75,,,422,,3845,
106002,Behavioral:Electronics & Gadgets,Lotame,0.75,,,422,,2716,
106003,Behavioral:Home Audio & Video,Lotame,0.75,,,422,,5082,
106004,Gender:Female,Lotame,0.25,,,422,,3729,
106005,Gender:Male,Lotame,0.25,,,422,,3728,
106006,Age:18-24,Lotame,0.25,,,422,,5327,
106007,Age:25-34,Lotame,0.25,,,422,,5328,
106008,Age:35-44,Lotame,0.25,,,422,,5329,
106009,Age:45-49,Lotame,0.25,,,422,,5330,
106010,Age:50-54,Lotame,0.25,,,422,,5331,
106011,Age:55-64,Lotame,0.25,,,422,,5332,
106012,Age:65+,Lotame,0.25,,,422,,3690,
106013,Advanced Demo:College Students,Lotame,0.75,,,422,,3818,
106014,Behavioral:School & Education,Lotame,0.75,,,422,,2725,
106015,Behavioral:Cooking & Recipes,Lotame,0.75,,,422,,3805,
106016,Behavioral:Food & Beverages,Lotame,0.75,,,422,,2924,
106017,Behavioral:Restaurants & Dining,Lotame,0.75,,,422,,4769,
106018,Affluent Households,Lotame,,,,422,,2721,
106019,Behavioral:Cat Lovers,Lotame,0.75,,,422,,3849,
106020,Behavioral:Dog Lovers,Lotame,0.75,,,422,,3848,
106021,Advanced Demo:Pet Owners,Lotame,0.75,,,422,,3847,
106022,Behavioral:Green Living,Lotame,0.75,,,422,,3833,
106023,Advanced Demo:Declared Moms,Lotame,0.75,,,422,,3493,
106024,Behavioral:Parenting,Lotame,0.75,,,422,,3491,
106025,Behavioral:Party Planners,Lotame,0.75,,,422,,5208,
106027,Online Communities:Bloggers,Lotame,1,,,422,,3827,
106028,Behavioral:Online Dating,Lotame,0.75,,,422,,3824,
106029,Behavioral:Online Videos,Lotame,0.75,,,422,,3821,
106030,Online Communities:Photo/Video Uploaders,Lotame,1,,,422,,3823,
106031,Behavioral:Sports,Lotame,0.75,,,422,,2829,
106032,Behavioral:Sports:Baseball,Lotame,0.75,,,422,,3840,
106033,Behavioral:Sports:Basketball,Lotame,0.75,,,422,,3839,
106034,Behavioral:Sports:College Sports,Lotame,0.75,,,422,,5049,
106035,Behavioral:Sports:Fantasy Sports,Lotame,0.75,,,422,,3843,
106036,Behavioral:Sports:Football,Lotame,0.75,,,422,,3841,
106037,Behavioral:Sports:Motor Sports,Lotame,0.75,,,422,,5058,
106038,Behavioral:Sports:Soccer,Lotame,0.75,,,422,,4884,
106039,Behavioral:Sports:Water Sports,Lotame,0.75,,,422,,3842,
106040,Behavioral:Travel,Lotame,0.75,,,422,,2743,
106041,Behavioral:Travel:Domestic,Lotame,0.75,,,422,,3794,
106042,Behavioral:Travel:International,Lotame,0.75,,,422,,3791,
106043,Behavioral:Travel:Vacation,Lotame,0.75,,,422,,3998,
106210,Business Travelers,exelate,1,,,39,exelate,1102,Smart Segments
106229,Social Influencers,exelate,1,,,39,exelate,1099,Smart Segments
123845,Behavioral:Hybrid Cars,Lotame,0.75,,,422,,5581,
123846,Behavioral:Sport Utility Vehicles (SUVs),Lotame,0.75,,,422,,5600,
123847,Behavioral:Motorcycles,Lotame,0.75,,,422,,5599,
123848,Behavioral:Sports:Golf,Lotame,0.75,,,422,,5526,
123849,Behavioral:Sports:Hockey,Lotame,0.75,,,422,,5551,
123850,Behavioral:Video Games:Handheld Games,Lotame,0.75,,,422,,5601,
123851,Social Media Users,Lotame,,,,422,,2714,
123852,Behavioral:Mobile Phones,Lotame,0.75,,,422,,5609,
123853,Behavioral:Finance:Personal Finance,Lotame,0.75,,,422,,5604,
131277,Behavioral:Healthy Living:Health & Fitness,Lotame,0.75,,,422,,2726,
132746,Behavioral:Healthy Living:Dieting & Weight Loss,Lotame,0.75,,,422,,5603,
132747,Behavioral:News:Government & Politics,Lotame,0.75,,,422,,5900,
132748,Behavioral:News:News & Current Events,Lotame,0.75,,,422,,5606,
132749,Advanced Demo:Hispanics or Spanish Speakers,Lotame,0.75,,,422,,5901,
155938,Advanced Demo:Declared Parents,Lotame,0.75,,,422,,6281,Advanced Demo
155939,Advanced Demo:Declared Dads,Lotame,0.75,,,422,,6115,Advanced Demo
155940,Advanced Demo:Parents of Infants,Lotame,0.75,,,422,,6120,Advanced Demo
155941,Advanced Demo:Parents of Toddlers,Lotame,0.75,,,422,,6121,Advanced Demo
155942,Advanced Demo:Parents of Young Children,Lotame,0.75,,,422,,6122,Advanced Demo
155943,Advanced Demo:Parents of Pre-Teens,Lotame,0.75,,,422,,6123,Advanced Demo
155944,Advanced Demo:Parents of Teens,Lotame,0.75,,,422,,6124,Advanced Demo
155945,Advanced Demo:Level of Education:High School Degree,Lotame,0.75,,,422,,6126,Advanced Demo
155946,Advanced Demo:Level of Education:Some College,Lotame,0.75,,,422,,6127,Advanced Demo
155947,Advanced Demo:Level of Education:College Degree,Lotame,0.75,,,422,,6128,Advanced Demo
155948,Advanced Demo:Level of Education:Advanced Degree,Lotame,0.75,,,422,,6129,Advanced Demo
155949,Advanced Demo:Relationship Status:Divorced,Lotame,0.75,,,422,,6149,Advanced Demo
155950,Advanced Demo:Relationship Status:Engaged,Lotame,0.75,,,422,,6150,Advanced Demo
155951,Advanced Demo:Relationship Status:In a Relationship,Lotame,0.75,,,422,,6151,Advanced Demo
155952,Advanced Demo:Relationship Status:Single,Lotame,0.75,,,422,,6152,Advanced Demo
155953,Advanced Demo:Relationship Status:Married,Lotame,0.75,,,422,,6153,Advanced Demo
155954,Advanced Demo:Relationship Status:Widowed,Lotame,0.75,,,422,,6154,Advanced Demo
155955,Advanced Demo:HHI,Lotame,0.75,,,422,,6130,Advanced Demo
155956,Advanced Demo:HHI $25k-$59k,Lotame,0.75,,,422,,6131,Advanced Demo
155957,Advanced Demo:HHI $60k-$74k,Lotame,0.75,,,422,,6132,Advanced Demo
155958,Advanced Demo:HHI $75k-$99k,Lotame,0.75,,,422,,6133,Advanced Demo
155959,Advanced Demo:HHI $100k +,Lotame,0.75,,,422,,6134,Advanced Demo
155960,Advanced Demo:Primary Residence:Apartment,Lotame,0.75,,,422,,6135,Advanced Demo
155961,Advanced Demo:Primary Residence:Condo,Lotame,0.75,,,422,,6136,Advanced Demo
155962,Advanced Demo:Primary Residence:Single-Family House,Lotame,0.75,,,422,,6137,Advanced Demo
155963,Advanced Demo:Primary Residence:Vacation Home,Lotame,0.75,,,422,,6138,Advanced Demo
155964,Advanced Demo:Time at Primary Residence,Lotame,,,,422,,6143,Advanced Demo
155965,Advanced Demo:Time at Primary Residence:3-5 Years,Lotame,0.75,,,422,,6144,Advanced Demo
155966,Advanced Demo:Time at Primary Residence:6-10 Years,Lotame,0.75,,,422,,6145,Advanced Demo
155967,Advanced Demo:Time at Primary Residence:10+ Years,Lotame,0.75,,,422,,6146,Advanced Demo
155968,Advanced Demo:Primary Residence:Owns,Lotame,0.75,,,422,,6147,Advanced Demo
155969,Advanced Demo:Primary Residence:Rents,Lotame,0.75,,,422,,6148,Advanced Demo
155970,Advanced Demo:Credit Level:Excellent,Lotame,0.75,,,422,,6117,Advanced Demo
155971,Advanced Demo:Credit Level:Good,Lotame,0.75,,,422,,6118,Advanced Demo
155972,Advanced Demo:Credit Level:Poor,Lotame,0.75,,,422,,6119,Advanced Demo
155973,Online Communities:Influencers:Commenters,Lotame,1,,,422,,6155,Advanced Demo
155974,Online Communities:Content Sharers,Lotame,1,,,422,,6156,Advanced Demo
155975,Online Communities:Influencers,Lotame,1,,,422,,5598,Online Communities
156719,SBO Shoppers,exelate,1,,,39,exelate,1481,Smart Segments
199932,Halloween,Lotame,,,,422,,7464,Holiday
199933,Thanksgiving Food,Lotame,,,,422,,7465,Holiday
199934,Thanksgiving Travel,Lotame,,,,422,,7466,Holiday
199935,Holiday Shopping Season,Lotame,,,,422,,7467,Holiday
202794,Finance Professionals,Lotame,,,,422,,7875,Business
202795,IT Professionals,Lotame,,,,422,,7867,Business
202796,Small Business Professionals,Lotame,,,,422,,7876,Business
202797,XBOX 360 Users,Lotame,,,,422,,6050,Arts & Entertainment
213916,Computers & Technology,Lotame,,,,422,,,
219017,Home & Garden:Home Decorating,Lotame,,,,422,,8393,Home & Garden
219018,Home & Garden:Home Improvement,Lotame,,,,422,,8392,Home & Garden
219019,International:UK All Users,Lotame,,,,422,,5700,International
219020,International:UK Age:18-24,Lotame,,,,422,,5794,International
219021,International:UK Age:25-34,Lotame,,,,422,,5795,International
219022,International:UK Age:35-49,Lotame,,,,422,,5796,International
219023,International:UK Age:50+,Lotame,,,,422,,5797,International
219024,International:UK Female Gender,Lotame,,,,422,,5791,International
219025,International:UK Male Gender,Lotame,,,,422,,5793,International
219026,International:UK Movies,Lotame,,,,422,,5800,International
219027,International:UK News,Lotame,,,,422,,5799,International
219028,International:UK Soccer,Lotame,,,,422,,5803,International
219029,International:UK Social Media Users,Lotame,,,,422,,5798,International
219030,International:UK Sports,Lotame,,,,422,,5802,International
219031,International:UK Television,Lotame,,,,422,,5801,International
219032,International:Germany All Users,Lotame,,,,422,,6436,International
219033,International:Germany Art,Lotame,,,,422,,6429,International
219034,International:Germany Business,Lotame,,,,422,,6430,International
219035,International:Germany Computers & Technology,Lotame,,,,422,,6431,International
219036,International:Germany Games & Toys,Lotame,,,,422,,6432,International
219037,International:Germany Movies,Lotame,,,,422,,6433,International
219038,International:Germany News,Lotame,,,,422,,6434,International
219039,International:Germany Sports,Lotame,,,,422,,6435,International
219040,International:France All Users,Lotame,,,,422,,6437,International
219041,International:France Art,Lotame,,,,422,,6438,International
219042,International:France Business,Lotame,,,,422,,6439,International
219043,International:France Computers & Technology,Lotame,,,,422,,6440,International
219044,International:France Games & Toys,Lotame,,,,422,,6441,International
219045,International:France Sports,Lotame,,,,422,,6442,International
223408,Holidays & Special Events:Valentines Day,Lotame,,,,422,,7459,Holidays & Special Events
223409,Holidays & Special Events:St. Patricks Day,Lotame,,,,422,,7460,Holidays & Special Events
223410,Holidays & Special Events:Mothers Day,Lotame,,,,422,,7461,Holidays & Special Events
223411,Holidays & Special Events:Fathers Day,Lotame,,,,422,,7462,Holidays & Special Events
223412,Holidays & Special Events:4th of July,Lotame,,,,422,,7463,Holidays & Special Events
223413,Holidays & Special Events:Super Bowl,Lotame,,,,422,,7501,Holidays & Special Events
223414,Holidays & Special Events:Spring Break,Lotame,,,,422,,7502,Holidays & Special Events
223415,Holidays & Special Events:March Madness,Lotame,,,,422,,7506,Holidays & Special Events
223416,Holidays & Special Events:NFL Draft,Lotame,,,,422,,7507,Holidays & Special Events
223417,Holidays & Special Events:Back to School,Lotame,,,,422,,7504,Holidays & Special Events
235477,KO Test,Lotame,,,,422,,,
235918,Test MH,Lotame,,,,422,,,
236189,Test,Lotame,,,,422,,,
239775,In-Market:Retail:Business & Office:Office Furniture & Supplies:Storage & Desk Organizers:Desktop Organizers. Holders & Accessories:Pen. Pencil & Paper Clip Organizers:Mesh Pencil Cup Holder,BlueKai,0.77,,,1262,,bk_11414,BlueKai
239781,In-Market:Autos,BlueKai,1.71,,,1262,,bk_17,BlueKai
239782,In-Market:Autos:Makes & Models,BlueKai,1.71,,,1262,,bk_134,BlueKai
239783,In-Market:Autos:Makes & Models:Acura,BlueKai,1.71,,,1262,,bk_205,BlueKai
239784,In-Market:Autos:Makes & Models:Acura:CL,BlueKai,1.71,,,1262,,bk_2298,BlueKai
239785,In-Market:Autos:Makes & Models:Acura:EL,BlueKai,1.71,,,1262,,bk_2605,BlueKai
239786,In-Market:Autos:Makes & Models:Acura:Integra,BlueKai,1.71,,,1262,,bk_2163,BlueKai
239787,In-Market:Autos:Makes & Models:Acura:Legend,BlueKai,1.71,,,1262,,bk_2300,BlueKai
239788,In-Market:Autos:Makes & Models:Acura:MDX,BlueKai,1.71,,,1262,,bk_349,BlueKai
239789,In-Market:Autos:Makes & Models:Acura:NSX,BlueKai,1.71,,,1262,,bk_2303,BlueKai
239790,In-Market:Autos:Makes & Models:Acura:RDX,BlueKai,1.71,,,1262,,bk_348,BlueKai
239791,In-Market:Autos:Makes & Models:Acura:RL,BlueKai,1.71,,,1262,,bk_347,BlueKai
239792,In-Market:Autos:Makes & Models:Acura:RSX,BlueKai,1.71,,,1262,,bk_2305,BlueKai
239793,In-Market:Autos:Makes & Models:Acura:SLX,BlueKai,1.71,,,1262,,bk_126852,BlueKai
239794,In-Market:Autos:Makes & Models:Acura:TL,BlueKai,1.71,,,1262,,bk_346,BlueKai
239795,In-Market:Autos:Makes & Models:Acura:TSX,BlueKai,1.71,,,1262,,bk_345,BlueKai
239796,In-Market:Autos:Makes & Models:Acura:Vigor,BlueKai,1.71,,,1262,,bk_2606,BlueKai
239797,In-Market:Autos:Makes & Models:Acura:ZDX,BlueKai,1.71,,,1262,,bk_103549,BlueKai
239798,In-Market:Autos:Makes & Models:Aixam,BlueKai,1.71,,,1262,,bk_123873,BlueKai
239799,In-Market:Autos:Makes & Models:Alfa Romeo,BlueKai,1.71,,,1262,,bk_2284,BlueKai
239800,In-Market:Autos:Makes & Models:Alfa Romeo:145,BlueKai,1.71,,,1262,,bk_2614,BlueKai
239801,In-Market:Autos:Makes & Models:Alfa Romeo:146,BlueKai,1.71,,,1262,,bk_133553,BlueKai
239802,In-Market:Autos:Makes & Models:Alfa Romeo:147,BlueKai,1.71,,,1262,,bk_2607,BlueKai
239803,In-Market:Autos:Makes & Models:Alfa Romeo:149,BlueKai,1.71,,,1262,,bk_133554,BlueKai
239804,In-Market:Autos:Makes & Models:Alfa Romeo:155,BlueKai,1.71,,,1262,,bk_2616,BlueKai
239805,In-Market:Autos:Makes & Models:Alfa Romeo:156,BlueKai,1.71,,,1262,,bk_2615,BlueKai
239806,In-Market:Autos:Makes & Models:Alfa Romeo:159,BlueKai,1.71,,,1262,,bk_2609,BlueKai
239807,In-Market:Autos:Makes & Models:Alfa Romeo:164,BlueKai,1.71,,,1262,,bk_2311,BlueKai
239808,In-Market:Autos:Makes & Models:Alfa Romeo:166,BlueKai,1.71,,,1262,,bk_2617,BlueKai
239809,In-Market:Autos:Makes & Models:Alfa Romeo:75,BlueKai,1.71,,,1262,,bk_123825,BlueKai
239810,In-Market:Autos:Makes & Models:Alfa Romeo:Brera,BlueKai,1.71,,,1262,,bk_134621,BlueKai
239811,In-Market:Autos:Makes & Models:Alfa Romeo:Giulietta,BlueKai,1.71,,,1262,,bk_2608,BlueKai
239812,In-Market:Autos:Makes & Models:Alfa Romeo:GT,BlueKai,1.71,,,1262,,bk_2612,BlueKai
239813,In-Market:Autos:Makes & Models:Alfa Romeo:GTV,BlueKai,1.71,,,1262,,bk_2618,BlueKai
239814,In-Market:Autos:Makes & Models:Alfa Romeo:MiTo,BlueKai,1.71,,,1262,,bk_2613,BlueKai
239815,In-Market:Autos:Makes & Models:Alfa Romeo:Spider,BlueKai,1.71,,,1262,,bk_2315,BlueKai
239816,In-Market:Autos:Makes & Models:Aston Martin,BlueKai,1.71,,,1262,,bk_9288,BlueKai
239817,In-Market:Autos:Makes & Models:Aston Martin:Cygnet,BlueKai,1.71,,,1262,,bk_135363,BlueKai
239818,In-Market:Autos:Makes & Models:Aston Martin:DB7,BlueKai,1.71,,,1262,,bk_2340,BlueKai
239819,In-Market:Autos:Makes & Models:Aston Martin:DB9,BlueKai,1.71,,,1262,,bk_11520,BlueKai
239820,In-Market:Autos:Makes & Models:Aston Martin:DBS,BlueKai,1.71,,,1262,,bk_11522,BlueKai
239821,In-Market:Autos:Makes & Models:Aston Martin:Rapide,BlueKai,1.71,,,1262,,bk_11521,BlueKai
239822,In-Market:Autos:Makes & Models:Aston Martin:Vanquish,BlueKai,1.71,,,1262,,bk_2335,BlueKai
239823,In-Market:Autos:Makes & Models:Aston Martin:Vantage,BlueKai,1.71,,,1262,,bk_11519,BlueKai
239824,In-Market:Autos:Makes & Models:Audi,BlueKai,1.71,,,1262,,bk_208,BlueKai
239825,In-Market:Autos:Makes & Models:Audi:100,BlueKai,1.71,,,1262,,bk_2345,BlueKai
239826,In-Market:Autos:Makes & Models:Audi:200,BlueKai,1.71,,,1262,,bk_2346,BlueKai
239827,In-Market:Autos:Makes & Models:Audi:80,BlueKai,1.71,,,1262,,bk_2343,BlueKai
239828,In-Market:Autos:Makes & Models:Audi:90,BlueKai,1.71,,,1262,,bk_2344,BlueKai
239829,In-Market:Autos:Makes & Models:Audi:A1,BlueKai,1.71,,,1262,,bk_123826,BlueKai
239830,In-Market:Autos:Makes & Models:Audi:A2,BlueKai,1.71,,,1262,,bk_124067,BlueKai
239831,In-Market:Autos:Makes & Models:Audi:A3,BlueKai,1.71,,,1262,,bk_359,BlueKai
239832,In-Market:Autos:Makes & Models:Audi:A4,BlueKai,1.71,,,1262,,bk_355,BlueKai
239833,In-Market:Autos:Makes & Models:Audi:A5,BlueKai,1.71,,,1262,,bk_360,BlueKai
239834,In-Market:Autos:Makes & Models:Audi:A6,BlueKai,1.71,,,1262,,bk_365,BlueKai
239835,In-Market:Autos:Makes & Models:Audi:A7,BlueKai,1.71,,,1262,,bk_103557,BlueKai
239836,In-Market:Autos:Makes & Models:Audi:A8,BlueKai,1.71,,,1262,,bk_366,BlueKai
239837,In-Market:Autos:Makes & Models:Audi:Allroad Quattro,BlueKai,1.71,,,1262,,bk_3172,BlueKai
239838,In-Market:Autos:Makes & Models:Audi:Cabriolet,BlueKai,1.71,,,1262,,bk_134622,BlueKai
239839,In-Market:Autos:Makes & Models:Audi:Q3,BlueKai,1.71,,,1262,,bk_135364,BlueKai
239840,In-Market:Autos:Makes & Models:Audi:Q5,BlueKai,1.71,,,1262,,bk_7454,BlueKai
239841,In-Market:Autos:Makes & Models:Audi:Q7,BlueKai,1.71,,,1262,,bk_371,BlueKai
239842,In-Market:Autos:Makes & Models:Audi:R8,BlueKai,1.71,,,1262,,bk_361,BlueKai
239843,In-Market:Autos:Makes & Models:Audi:RS4,BlueKai,1.71,,,1262,,bk_6959,BlueKai
239844,In-Market:Autos:Makes & Models:Audi:RS5,BlueKai,1.71,,,1262,,bk_103559,BlueKai
239845,In-Market:Autos:Makes & Models:Audi:RS6,BlueKai,1.71,,,1262,,bk_73460,BlueKai
239846,In-Market:Autos:Makes & Models:Audi:S4,BlueKai,1.71,,,1262,,bk_357,BlueKai
239847,In-Market:Autos:Makes & Models:Audi:S5,BlueKai,1.71,,,1262,,bk_362,BlueKai
239848,In-Market:Autos:Makes & Models:Audi:S6,BlueKai,1.71,,,1262,,bk_369,BlueKai
239849,In-Market:Autos:Makes & Models:Audi:S8,BlueKai,1.71,,,1262,,bk_73415,BlueKai
239850,In-Market:Autos:Makes & Models:Audi:TT,BlueKai,1.71,,,1262,,bk_358,BlueKai
239851,In-Market:Autos:Makes & Models:Audi:TTS,BlueKai,1.71,,,1262,,bk_24131,BlueKai
239852,In-Market:Autos:Makes & Models:Audi:V8,BlueKai,1.71,,,1262,,bk_2374,BlueKai
239853,In-Market:Autos:Makes & Models:Bentley,BlueKai,1.71,,,1262,,bk_11018,BlueKai
239854,In-Market:Autos:Makes & Models:Bentley:Arnage,BlueKai,1.71,,,1262,,bk_6975,BlueKai
239855,In-Market:Autos:Makes & Models:Bentley:Azure,BlueKai,1.71,,,1262,,bk_11530,BlueKai
239856,In-Market:Autos:Makes & Models:Bentley:Brooklands,BlueKai,1.71,,,1262,,bk_11526,BlueKai
239857,In-Market:Autos:Makes & Models:Bentley:Continental,BlueKai,1.71,,,1262,,bk_24132,BlueKai
239858,In-Market:Autos:Makes & Models:Bentley:Continental Flying Spur,BlueKai,1.71,,,1262,,bk_11527,BlueKai
239859,In-Market:Autos:Makes & Models:Bentley:Continental GT,BlueKai,1.71,,,1262,,bk_11525,BlueKai
239860,In-Market:Autos:Makes & Models:Bentley:Continental GTC,BlueKai,1.71,,,1262,,bk_11529,BlueKai
239861,In-Market:Autos:Makes & Models:Bentley:Continental R/S/T,BlueKai,1.71,,,1262,,bk_2384,BlueKai
239862,In-Market:Autos:Makes & Models:Bentley:Continental Supersports,BlueKai,1.71,,,1262,,bk_24133,BlueKai
239863,In-Market:Autos:Makes & Models:Bentley:Mulsanne,BlueKai,1.71,,,1262,,bk_14573,BlueKai
239864,In-Market:Autos:Makes & Models:BMW,BlueKai,1.71,,,1262,,bk_210,BlueKai
239865,In-Market:Autos:Makes & Models:BMW:1-Series,BlueKai,1.71,,,1262,,bk_2240,BlueKai
239866,In-Market:Autos:Makes & Models:BMW:1-Series:128,BlueKai,1.71,,,1262,,bk_395,BlueKai
239867,In-Market:Autos:Makes & Models:BMW:1-Series:135,BlueKai,1.71,,,1262,,bk_398,BlueKai
239868,In-Market:Autos:Makes & Models:BMW:1-Series:M Coupe,BlueKai,1.71,,,1262,,bk_435,BlueKai
239869,In-Market:Autos:Makes & Models:BMW:3-Series,BlueKai,1.71,,,1262,,bk_2150,BlueKai
239870,In-Market:Autos:Makes & Models:BMW:3-Series:318,BlueKai,1.71,,,1262,,bk_135365,BlueKai
239871,In-Market:Autos:Makes & Models:BMW:3-Series:323,BlueKai,1.71,,,1262,,bk_135366,BlueKai
239872,In-Market:Autos:Makes & Models:BMW:3-Series:325,BlueKai,1.71,,,1262,,bk_3631,BlueKai
239873,In-Market:Autos:Makes & Models:BMW:3-Series:328,BlueKai,1.71,,,1262,,bk_405,BlueKai
239874,In-Market:Autos:Makes & Models:BMW:3-Series:330,BlueKai,1.71,,,1262,,bk_7459,BlueKai
239875,In-Market:Autos:Makes & Models:BMW:3-Series:335,BlueKai,1.71,,,1262,,bk_410,BlueKai
239876,In-Market:Autos:Makes & Models:BMW:3-Series:M3,BlueKai,1.71,,,1262,,bk_438,BlueKai
239877,In-Market:Autos:Makes & Models:BMW:5-Series,BlueKai,1.71,,,1262,,bk_2151,BlueKai
239878,In-Market:Autos:Makes & Models:BMW:5-Series:525,BlueKai,1.71,,,1262,,bk_135367,BlueKai
239879,In-Market:Autos:Makes & Models:BMW:5-Series:528,BlueKai,1.71,,,1262,,bk_414,BlueKai
239880,In-Market:Autos:Makes & Models:BMW:5-Series:530,BlueKai,1.71,,,1262,,bk_7460,BlueKai
239881,In-Market:Autos:Makes & Models:BMW:5-Series:535,BlueKai,1.71,,,1262,,bk_416,BlueKai
239882,In-Market:Autos:Makes & Models:BMW:5-Series:540,BlueKai,1.71,,,1262,,bk_135368,BlueKai
239883,In-Market:Autos:Makes & Models:BMW:5-Series:545,BlueKai,1.71,,,1262,,bk_135369,BlueKai
239884,In-Market:Autos:Makes & Models:BMW:5-Series:550,BlueKai,1.71,,,1262,,bk_419,BlueKai
239885,In-Market:Autos:Makes & Models:BMW:5-Series:M5,BlueKai,1.71,,,1262,,bk_442,BlueKai
239886,In-Market:Autos:Makes & Models:BMW:6-Series,BlueKai,1.71,,,1262,,bk_2241,BlueKai
239887,In-Market:Autos:Makes & Models:BMW:6-Series:645,BlueKai,1.71,,,1262,,bk_135370,BlueKai
239888,In-Market:Autos:Makes & Models:BMW:6-Series:650,BlueKai,1.71,,,1262,,bk_421,BlueKai
239889,In-Market:Autos:Makes & Models:BMW:6-Series:M6,BlueKai,1.71,,,1262,,bk_444,BlueKai
239890,In-Market:Autos:Makes & Models:BMW:7-Series,BlueKai,1.71,,,1262,,bk_2152,BlueKai
239891,In-Market:Autos:Makes & Models:BMW:7-Series:735,BlueKai,1.71,,,1262,,bk_83424,BlueKai
239892,In-Market:Autos:Makes & Models:BMW:7-Series:740,BlueKai,1.71,,,1262,,bk_103567,BlueKai
239893,In-Market:Autos:Makes & Models:BMW:7-Series:745,BlueKai,1.71,,,1262,,bk_83321,BlueKai
239894,In-Market:Autos:Makes & Models:BMW:7-Series:750,BlueKai,1.71,,,1262,,bk_422,BlueKai
239895,In-Market:Autos:Makes & Models:BMW:7-Series:760,BlueKai,1.71,,,1262,,bk_24135,BlueKai
